Strain,Culture,Eu,Total,rep,prop
RSC019,OP50,33,50,1,66
RSC019,OP50,30,50,2,60
RSC019,OP50,23,50,3,46
RSC017,OP50,1,50,1,2
RSC017,OP50,5,50,2,10
RSC017,OP50,1,50,3,2
RS5405,OP50,50,50,1,100
RS5405,OP50,50,50,2,100
RS5405,OP50,50,50,3,100
RSC011,OP50,10,50,1,20
RSC011,OP50,16,50,2,32
RSC011,OP50,24,50,3,48
RSA076,OP50,50,50,1,100
RSA076,OP50,50,50,2,100
RSA076,OP50,50,50,3,100
RSA619,OP50,49,50,1,98
RSA619,OP50,50,50,2,100
RSA619,OP50,47,50,3,94
RSA639,OP50,50,50,1,100
RSA639,OP50,50,50,2,100
RSA639,OP50,50,50,3,100
RSA635,OP50,45,50,1,90
RSA635,OP50,34,50,2,68
RSA635,OP50,30,50,3,60
RS5200,OP50,7,50,1,14
RS5200,OP50,12,50,2,24
RS5200,OP50,2,50,3,4